ClinicID,ClinicName,AppointmentDate,DayOfWeek,HolidayName,IsHoliday,TotalScheduled
1,Nexora Care - Riverside,2024-01-01,Monday,New Year's Day,True,13
1,Nexora Care - Riverside,2024-01-02,Tuesday,Non-Holiday,False,75
1,Nexora Care - Riverside,2024-01-03,Wednesday,Non-Holiday,False,66
1,Nexora Care - Riverside,2024-01-04,Thursday,Non-Holiday,False,62
1,Nexora Care - Riverside,2024-01-05,Friday,Non-Holiday,False,36
1,Nexora Care - Riverside,2024-01-06,Saturday,Non-Holiday,False,17
1,Nexora Care - Riverside,2024-01-08,Monday,Non-Holiday,False,55
1,Nexora Care - Riverside,2024-01-09,Tuesday,Non-Holiday,False,52
1,Nexora Care - Riverside,2024-01-10,Wednesday,Non-Holiday,False,72
1,Nexora Care - Riverside,2024-01-11,Thursday,Non-Holiday,False,71
1,Nexora Care - Riverside,2024-01-12,Friday,Non-Holiday,False,51
1,Nexora Care - Riverside,2024-01-13,Saturday,Non-Holiday,False,15
1,Nexora Care - Riverside,2024-01-15,Monday,MLK Day,True,12
1,Nexora Care - Riverside,2024-01-16,Tuesday,Non-Holiday,False,81
1,Nexora Care - Riverside,2024-01-17,Wednesday,Non-Holiday,False,54
1,Nexora Care - Riverside,2024-01-18,Thursday,Non-Holiday,False,46
1,Nexora Care - Riverside,2024-01-19,Friday,Non-Holiday,False,47
1,Nexora Care - Riverside,2024-01-20,Saturday,Non-Holiday,False,21
1,Nexora Care - Riverside,2024-01-22,Monday,Non-Holiday,False,63
1,Nexora Care - Riverside,2024-01-23,Tuesday,Non-Holiday,False,45
1,Nexora Care - Riverside,2024-01-24,Wednesday,Non-Holiday,False,52
1,Nexora Care - Riverside,2024-01-25,Thursday,Non-Holiday,False,66
1,Nexora Care - Riverside,2024-01-26,Friday,Non-Holiday,False,49
1,Nexora Care - Riverside,2024-01-27,Saturday,Non-Holiday,False,9
1,Nexora Care - Riverside,2024-01-29,Monday,Non-Holiday,False,60
1,Nexora Care - Riverside,2024-01-30,Tuesday,Non-Holiday,False,58
1,Nexora Care - Riverside,2024-01-31,Wednesday,Non-Holiday,False,44
1,Nexora Care - Riverside,2024-02-01,Thursday,Non-Holiday,False,52
1,Nexora Care - Riverside,2024-02-02,Friday,Non-Holiday,False,47
1,Nexora Care - Riverside,2024-02-03,Saturday,Non-Holiday,False,22
1,Nexora Care - Riverside,2024-02-05,Monday,Non-Holiday,False,61
1,Nexora Care - Riverside,2024-02-06,Tuesday,Non-Holiday,False,54
1,Nexora Care - Riverside,2024-02-07,Wednesday,Non-Holiday,False,61
1,Nexora Care - Riverside,2024-02-08,Thursday,Non-Holiday,False,71
1,Nexora Care - Riverside,2024-02-09,Friday,Non-Holiday,False,55
1,Nexora Care - Riverside,2024-02-10,Saturday,Non-Holiday,False,19
1,Nexora Care - Riverside,2024-02-12,Monday,Non-Holiday,False,64
1,Nexora Care - Riverside,2024-02-13,Tuesday,Non-Holiday,False,69
1,Nexora Care - Riverside,2024-02-14,Wednesday,Non-Holiday,False,62
1,Nexora Care - Riverside,2024-02-15,Thursday,Non-Holiday,False,69
1,Nexora Care - Riverside,2024-02-16,Friday,Non-Holiday,False,38
1,Nexora Care - Riverside,2024-02-17,Saturday,Non-Holiday,False,20
1,Nexora Care - Riverside,2024-02-19,Monday,Presidents' Day,True,10
1,Nexora Care - Riverside,2024-02-20,Tuesday,Non-Holiday,False,99
1,Nexora Care - Riverside,2024-02-21,Wednesday,Non-Holiday,False,71
1,Nexora Care - Riverside,2024-02-22,Thursday,Non-Holiday,False,70
1,Nexora Care - Riverside,2024-02-23,Friday,Non-Holiday,False,66
1,Nexora Care - Riverside,2024-02-24,Saturday,Non-Holiday,False,18
1,Nexora Care - Riverside,2024-02-26,Monday,Non-Holiday,False,63
1,Nexora Care - Riverside,2024-02-27,Tuesday,Non-Holiday,False,89
1,Nexora Care - Riverside,2024-02-28,Wednesday,Non-Holiday,False,65
1,Nexora Care - Riverside,2024-02-29,Thursday,Non-Holiday,False,56
1,Nexora Care - Riverside,2024-03-01,Friday,Non-Holiday,False,42
1,Nexora Care - Riverside,2024-03-02,Saturday,Non-Holiday,False,17
1,Nexora Care - Riverside,2024-03-04,Monday,Non-Holiday,False,54
1,Nexora Care - Riverside,2024-03-05,Tuesday,Non-Holiday,False,51
1,Nexora Care - Riverside,2024-03-06,Wednesday,Non-Holiday,False,61
1,Nexora Care - Riverside,2024-03-07,Thursday,Non-Holiday,False,53
1,Nexora Care - Riverside,2024-03-08,Friday,Non-Holiday,False,56
1,Nexora Care - Riverside,2024-03-09,Saturday,Non-Holiday,False,23
1,Nexora Care - Riverside,2024-03-11,Monday,Non-Holiday,False,57
1,Nexora Care - Riverside,2024-03-12,Tuesday,Non-Holiday,False,65
1,Nexora Care - Riverside,2024-03-13,Wednesday,Non-Holiday,False,70
1,Nexora Care - Riverside,2024-03-14,Thursday,Non-Holiday,False,46
1,Nexora Care - Riverside,2024-03-15,Friday,Non-Holiday,False,49
1,Nexora Care - Riverside,2024-03-16,Saturday,Non-Holiday,False,15
1,Nexora Care - Riverside,2024-03-18,Monday,Non-Holiday,False,51
1,Nexora Care - Riverside,2024-03-19,Tuesday,Non-Holiday,False,51
1,Nexora Care - Riverside,2024-03-20,Wednesday,Non-Holiday,False,46
1,Nexora Care - Riverside,2024-03-21,Thursday,Non-Holiday,False,44
1,Nexora Care - Riverside,2024-03-22,Friday,Non-Holiday,False,53
1,Nexora Care - Riverside,2024-03-23,Saturday,Non-Holiday,False,17
1,Nexora Care - Riverside,2024-03-25,Monday,Non-Holiday,False,33
1,Nexora Care - Riverside,2024-03-26,Tuesday,Non-Holiday,False,61
1,Nexora Care - Riverside,2024-03-27,Wednesday,Non-Holiday,False,45
1,Nexora Care - Riverside,2024-03-28,Thursday,Non-Holiday,False,46
1,Nexora Care - Riverside,2024-03-29,Friday,Non-Holiday,False,59
1,Nexora Care - Riverside,2024-03-30,Saturday,Non-Holiday,False,12
1,Nexora Care - Riverside,2024-04-01,Monday,Non-Holiday,False,63
1,Nexora Care - Riverside,2024-04-02,Tuesday,Non-Holiday,False,57
1,Nexora Care - Riverside,2024-04-03,Wednesday,Non-Holiday,False,52
1,Nexora Care - Riverside,2024-04-04,Thursday,Non-Holiday,False,56
1,Nexora Care - Riverside,2024-04-05,Friday,Non-Holiday,False,47
1,Nexora Care - Riverside,2024-04-06,Saturday,Non-Holiday,False,16
1,Nexora Care - Riverside,2024-04-08,Monday,Non-Holiday,False,63
1,Nexora Care - Riverside,2024-04-09,Tuesday,Non-Holiday,False,60
1,Nexora Care - Riverside,2024-04-10,Wednesday,Non-Holiday,False,59
1,Nexora Care - Riverside,2024-04-11,Thursday,Non-Holiday,False,65
1,Nexora Care - Riverside,2024-04-12,Friday,Non-Holiday,False,43
1,Nexora Care - Riverside,2024-04-13,Saturday,Non-Holiday,False,27
1,Nexora Care - Riverside,2024-04-15,Monday,Non-Holiday,False,58
1,Nexora Care - Riverside,2024-04-16,Tuesday,Non-Holiday,False,51
1,Nexora Care - Riverside,2024-04-17,Wednesday,Non-Holiday,False,55
1,Nexora Care - Riverside,2024-04-18,Thursday,Non-Holiday,False,58
1,Nexora Care - Riverside,2024-04-19,Friday,Non-Holiday,False,57
1,Nexora Care - Riverside,2024-04-20,Saturday,Non-Holiday,False,14
1,Nexora Care - Riverside,2024-04-22,Monday,Non-Holiday,False,68
1,Nexora Care - Riverside,2024-04-23,Tuesday,Non-Holiday,False,63
1,Nexora Care - Riverside,2024-04-24,Wednesday,Non-Holiday,False,65
1,Nexora Care - Riverside,2024-04-25,Thursday,Non-Holiday,False,46
1,Nexora Care - Riverside,2024-04-26,Friday,Non-Holiday,False,62
1,Nexora Care - Riverside,2024-04-27,Saturday,Non-Holiday,False,19
1,Nexora Care - Riverside,2024-04-29,Monday,Non-Holiday,False,55
1,Nexora Care - Riverside,2024-04-30,Tuesday,Non-Holiday,False,69
1,Nexora Care - Riverside,2024-05-01,Wednesday,Non-Holiday,False,68
1,Nexora Care - Riverside,2024-05-02,Thursday,Non-Holiday,False,70
1,Nexora Care - Riverside,2024-05-03,Friday,Non-Holiday,False,68
1,Nexora Care - Riverside,2024-05-04,Saturday,Non-Holiday,False,16
1,Nexora Care - Riverside,2024-05-06,Monday,Non-Holiday,False,61
1,Nexora Care - Riverside,2024-05-07,Tuesday,Non-Holiday,False,54
1,Nexora Care - Riverside,2024-05-08,Wednesday,Non-Holiday,False,55
1,Nexora Care - Riverside,2024-05-09,Thursday,Non-Holiday,False,66
1,Nexora Care - Riverside,2024-05-10,Friday,Non-Holiday,False,37
1,Nexora Care - Riverside,2024-05-11,Saturday,Non-Holiday,False,24
1,Nexora Care - Riverside,2024-05-13,Monday,Non-Holiday,False,55
1,Nexora Care - Riverside,2024-05-14,Tuesday,Non-Holiday,False,56
1,Nexora Care - Riverside,2024-05-15,Wednesday,Non-Holiday,False,68
1,Nexora Care - Riverside,2024-05-16,Thursday,Non-Holiday,False,66
1,Nexora Care - Riverside,2024-05-17,Friday,Non-Holiday,False,38
1,Nexora Care - Riverside,2024-05-18,Saturday,Non-Holiday,False,20
1,Nexora Care - Riverside,2024-05-20,Monday,Non-Holiday,False,58
1,Nexora Care - Riverside,2024-05-21,Tuesday,Non-Holiday,False,56
1,Nexora Care - Riverside,2024-05-22,Wednesday,Non-Holiday,False,54
1,Nexora Care - Riverside,2024-05-23,Thursday,Non-Holiday,False,46
